cid,text,llm_theme_summ,llm_theme_theme,lda_topic_id,lda_topic_keywords,topic_keywords,topic_name
bafyreigbwol7hxm7h4nhctpqb4vgmez3o4uhcadqd3zrgoplbukltltnie,Rebecca Sobel from @wildearthguardians.bsky.social says we're all here today because the oil and gas industry has pulled the trigger on its long game: Discharging its toxic waste into #NMPol waterways. This waste spills every 7 hours in NM. Now the same people who can't keep it in their pipes...,Corporate Climate Accountability,Water pollution,36,"oil, drilling, gas, price, trump",,-1_clean energy_social_green_bsky social
bafyreigpnvtq64xhbzonlkiuntkb7i2dogxunqc43jpdwgtxxr65wqtgwq,One of the totalitarian things the Ba'ath party did in As-Suwaydaa as their civ soc activists launched replanting campaigns across the province to counteract deforestation. The Ba'ath's leader of As-Suwaydaa at the time explicitly banned replanting initiatives & made it synonymous with As-Suwaydaa,Trees for Climate,Anti-Deforestation,47,"thing, something, change, climate, actually",,-1_clean energy_social_green_bsky social
bafyreiej3ygynrrnvui2ffxw6tqouf5tkqqre63b6zaihlkqdotol7guwm,"Imagine this holiday season powered by renewables: lights twinkling with solar energy, warmth from wind power, and even your holiday cookies baked with yesterday's sun. ðâ¨ Renewables aren't just the futureâthey're the perfect gift for a cleaner tomorrow. #RenewableEnergy #HolidaySeason",Clean Energy Push,Clean energy,43,"solar, energy, wind, power, panel",,-1_clean energy_social_green_bsky social
bafyreifi32hmlma4a7yoeuqektpdviodkusxvahqs3gza6s6ywjwo5mnry,Itâs a lake so definitely no sharks but still not safe for swimming due to pollution ðââï¸ð,Water pollution crisis,Water pollution,81,"pollution, air, city, show, focus","river, sewage, water pollution, fluoride, water, swimming, pfas, river pollution, nationalise, rivers",46_river_sewage_water pollution_fluoride
bafyreifvnkn5yni76fubihbu6fmffcwppvxdckjykknxzmne6eqn5y3tc4,"probable effects of exposure early in life, higher exposure to NO2, NOX, & coarse PM  in midlife to older age was associated with poorer cognition, processing speed, and brain structural outcomes, strengthening evidence for the adverse effects of air pollution on brain function in older age",Fossil fuel deception,Water pollution,81,"pollution, air, city, show, focus","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure
bafyreihfbltuqz5nvpbazasfmfuduhh4xo7bcvyty64cfvg5ymcfqlcpyu,"www3.nhk.or.jp/nhkworld/en/...
Transforming Cities Using Japanese Technology Part 1: Zero-emission Measures
Documentary 360 - Climate Tech

New Japanese technologies to solve the climate crisis. 

Details in Alt Text

Broadcast on November 15, 2024 / Available until November 16, 2025",Water resilience,Clean energy,51,"climate, change, issue, crisis, article",,-1_clean energy_social_green_bsky social
bafyreief5d7jagfgakbpwf7dgdxrep5qupdbpi3nxtl3x4zhhdgm465ciq,"It is never too late or the wrong time to choose a more compassionate, sustainable way of coping with sh*tty feelings-- even if you've been struggling w/ self-harmful coping mechanisms right up until this very minute. 

No shame. Grace over guilt. Just do the next right thing.",Starry night preservation,Anti-Deforestation,47,"thing, something, change, climate, actually",,-1_clean energy_social_green_bsky social
bafyreia6c4yt3ydqqyyo6q35ryxczliptcezkcew2uw65l53u6xtsagfme,"Potentially encouraging answer to @noahlawmp.bsky.social PMQ today re: Cornwall, clean energy, investment and devolution. Keep pressing the case! ãã",Clean Energy Push,Clean energy,99,"energy, clean, renewable, green, bill","scotland, england, produces, energy scotland, uk energy, bills, cumbria, infrastructure renewable, scots, uk",68_scotland_england_produces_energy scotland
bafyreic4lrybx4vzue6prgymihpxpcuitzibaksctgmbiqqmrqz7zlrsoq,He supports deforestation,Deforestation & Wildlife Crisis,Anti-Deforestation,40,"climate, yes, change, deforestation, nature","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil
bafyreigxlxgubsirbs5nthhrq3coo74dxgoabu77lkngya3eosjvnqn7ru,"Illegal mining, deforestation, killing animals...",Deforestation & Wildlife Crisis,Anti-Deforestation,71,"coal, mining, america, innovation, able",,-1_clean energy_social_green_bsky social
bafyreic7oa67nayf3vabrht2aykhveff3ndu25t7ja7czwwcga5eoha3ia,"This reminds me of Chicagoâs Wild Mile. They built a bunch of factories right up to the shoreline, destroying the ecology. Now much of Chicago is falling into the lake due to climate change. So the Shedd Aquarium teamed up with some local orgs to build floating wetlands right out onto the water.",Water resilience,Water pollution,15,"climate, change, reality, yeah, oh",,-1_clean energy_social_green_bsky social
bafyreih6iqgftk46wf37u7lag4lft7cgj6acrk2unv6wpjui4k5dhk5voe,"Brexit aside

ð¾Nationalising Railways
ð¾Saved steel industry
ð¾NHS being turned around with massive budget â¬ï¸, reducing waiting lists already
ð¾Binned Rwanda scheme saving Â£500m+
ð¾Doing excellent on Ukraine - No 1 priority
ð¾Defense spendingâ¬ï¸
ð¾Stikes NHS and Railways dealt with
ð¾Min wage â¬ï¸
ð¾Green energy",Independent investigative journalism,Clean energy,25,"cut, already, fight, etc, infrastructure",,-1_clean energy_social_green_bsky social
bafyreidfpk3rwtnttbwdgljh5exdpzecbhergzz2ps4k3ehzcwpzutyfwm,"Proof that climate change is real. 
âWhile it sounds counterintuitive, water releases heat as it freezes, and that heat warms the surrounding colder ice,â 
dailygalaxy.com/2025/06/anta...",Deadly Heat Crisis,Water pollution,4,"climate, change, event, heat, extreme",,-1_clean energy_social_green_bsky social
bafyreibuh6kethvk2mtka342hnjmnwh56kj63w7tabqkfc6aipnofbysly,Alberta is a prime example of fossil-fuel industry ignorance. The main problem is privatization and using the words competitiveness and innovation in place of greed. If the province will not uphold Canadian values then the government should be replaced.,End fossil fuels,Anti-Big Oil,87,"problem, kind, thanks, climate, link","canada, carney, canadian, alberta, canadians, smith, poilievre, cdnpoli, mark carney, ottawa",8_canada_carney_canadian_alberta
bafyreig5wsjdf4vj722374thkmjvzpilbqpxof7zsf7ohy7jjjh2z2vbli,"Here is one of several studies describing the long-lasting impact of coal mining in downstream water quality 

""Reclamation criteria are failing to achieve the desired outcomes and regulatory objectives.""

#FossilFuels #Canpoli #Alberta #Canada 

www.sciencedirect.com/science/arti...",Corporate Climate Accountability,Water pollution,71,"coal, mining, america, innovation, able","coal mining, coal, mining, miners, slopes, eastern slopes, mining coal, mines, eastern, alberta",12_coal mining_coal_mining_miners
bafyreiesso7awxr5nz3z56fxboo7it5wn7as4ooj64mmoma22bopmhp7jq,"""Producing textiles is typically a resource-intensive process that guzzles water while spewing greenhouse gases and pollution.""",Greenwashing deception,Water pollution,90,"emission, state, gas, greenhouse, administration","greenwashing, unearthed, greenwashing law, claims, cma, grapes, und, auch, labels, guidance",37_greenwashing_unearthed_greenwashing law_claims
bafyreiccysosyj76ugxcqfaiqnmd66as5alkwp3l2ues7qmwgyj7cpewqy,"for anyone wondering, the manufacturer is Stella/Stanley, which sells sustainable shirts for the Two Genders (Loose and Tucked)
stanleystella.com/en-us/collec...",Sustainable luxury fashion,Sustainable Fashion,68,"still, everyone, idea, yet, greenwashing","fashion, sustainable fashion, cutt ly, cutt, eco friendly, eco, clothing, sustainablefashion, friendly, shop",29_fashion_sustainable fashion_cutt ly_cutt
bafyreidcmumai6nbxtxnmhd5vv72ybgi5zkclf33dkee4obpksj2xqi7iq,"On many days in Texas, Green Energy produces the majority of power on the Texas power gridâ¦

Story from the past yearâ¦

âMore than 80% of electricity on the Texas grid was carbon-free at one point Sundayâ¦â

www.kut.org/energy-envir...",Renewable Energy Momentum,Clean energy,43,"solar, energy, wind, power, panel",,-1_clean energy_social_green_bsky social
bafyreibrjl5mjip6lsghsbgcwreiomirpxlt5x6yj6b2c6dtqlm7ojh7eq,I believe the problem the court had with the EPA rule is it said you canât dump sewage into the water that amounts to pollution but did not state what amount meets the definition. The court is saying the EPA rule has to better define what amount of sewage equals pollution.,Water pollution crisis,Water pollution,97,"american, land, another, national, federal",,-1_clean energy_social_green_bsky social
bafyreie4vj5cf665hs6xamogsdwzv6cep2ha5uuuiomsqzj2wd2qardyxa,"cuz producing fossil fuels makes you immune to the effects of climate change,

you know, like having a gun means you're bulletproof",Oil's Deceptive Greed,Anti-Big Oil,50,"mean, climate, party, change, drill",,-1_clean energy_social_green_bsky social
bafyreiebr2fqio2s5g5qudiuhqm63uabw6onj5ccf5pgflt2beknxsajde,"Climate change makes things dry, humans then start small fires that quickly spread into big fires. How is this hard to figure out.",Climate-fueled wildfires,Climate Wildfires,70,"fire, climate, change, point, post","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire
bafyreifqa7gtfzhtq7zvwmzyjpa46xehgavwdzzcp5anlmwfaaip6ly2oe,"My God, heâs really that stupid. No wonder North Dakota looks like a wasteland from all the drilling and raping of the earth.",Oil's Deceptive Greed,Anti-Big Oil,67,"make, look, profit, sense, tool","drilling, oil drilling, drill, oil, drilling oil, drilling mining, baby drill, drill baby, gas drilling, alaska",6_drilling_oil drilling_drill_oil
bafyreicntvzz6ntejacn4sndl326sgvwcmcdggtr2l42q42dqdjpegkv54,"ð Dress Black: BIPOC Designers Leading The Eco-Friendly Movement

#Black   #Sustainable Fashion   

https://www.forbes.com/sites/monicasanders/2025/02/13/dress-black-bipoc-designers-leading-the-eco-friendly-movement/",Sustainable luxury fashion,Sustainable Fashion,1,"go, hope, thousand, dry, type","fashion, sustainable fashion, cutt ly, cutt, eco friendly, eco, clothing, sustainablefashion, friendly, shop",29_fashion_sustainable fashion_cutt ly_cutt
bafyreicuo6xhphtsbi3u4r4kvctrylig5yawibd33hfrs3mjahtvigaate,"The CEO of the HSE has poured cold water on the possibility of #Wexford getting its own 24/7 mental health unit, stating it wouldnât be âsustainableâ for every county to have its own acute beds, with Wexford currently served by Waterford. 

m.independent.ie/regionals/we...",Independent investigative journalism,Water pollution,74,"two, challenge, thought, key, longer",,-1_clean energy_social_green_bsky social
bafyreiav23h7e2mvuxntmenqpcgpybbq743kgkrri7rl3kimcoiqj6pf7u,Climate change has worsened it worldwide.,Wildlife climate crisis,Climate Wildfires,56,"climate, change, scientist, war, expert",,-1_clean energy_social_green_bsky social
bafyreihw6spmlblhxcfnglbtuhrlodcvs2u6fnm6jzayjqu3g7rbdtxaxi,"#LCAW2025
ð³Our executive director Niki Mardas met @cop30brazil.bsky.social President AndrÃ© Aranha Correa do Lago at a #LondonClimateActionWeekâ¯reception hosted by our trustee Rose Dale. AndrÃ© recently spoke about importance of investments to halt & reverse #deforestation to mobilise #climate action.",Water resilience,Anti-Deforestation,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social
bafyreib33d2hwyrbk2w5rr2jqqqtvrx37dc7mfrfk4ci3i5xan3nwt5o7i,World: Bee-Sustainable Company: HIVE-7 (u0.2) by ThrÑll,Sustainable luxury fashion,Anti-Deforestation,66,"company, group, agree, consumption, according",,-1_clean energy_social_green_bsky social
bafyreiev7ixex4gituza4tfzmnn5pxkx5opskh7sgkqdwi4agdxua5vlua,"Young people want #ClimateAction. Labour might lose future votes if they cut green finance. Â£22bn for #CarbonCapture to allow #BigOil to keep drilling was always a poor plan. Best keep it in the ground & develop renewables instead.
www.theguardian.com/commentisfre...",End fossil fuels,Clean energy,82,"want, climate, change, put, political",,-1_clean energy_social_green_bsky social
bafyreigaudnh3hk7tdp4wvfhmaipanmg6rozva2ivprtbq7hhasccc632a,"One thing that HAS been linked with autism is air pollution.  Is the ""vaccines cause autism"" a political decoy by the fossil fuel and other industries, as the Trump EPA viciously dismantles the Clean Air Act and closed ALL Environmental Justice Offices?",Science under attack,Water pollution,5,"fuel, fossil, industry, stop, company",,-1_clean energy_social_green_bsky social
bafyreiggvmialup5mlrd4hrnjpxk46dku66glvmhfps7eylpgad566qwuu,"Worldâs largely unprotected peatlands are ticking âcarbon bombâ, warns study
Bogs & swamps are a colossal carbon store but their continued destruction would blow climate change targets

#DontMineMcClelland #TarSands #AbPoli #AER #AbLeg
#CdnPoli #VitalEcosystems 

www.theguardian.com/environment/...",Water resilience,Anti-Deforestation,64,"climate, change, risk, study, fact","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil
bafyreigreesua6rtkrbagqg6ildeft432yghtlq6b3uqbgwbsgyjqgmaqq,"Two American cultural issues that encapsulate some of biggest failings.

Water bottles and self-storage facilities. 

Most of our water is good. Water bottles pollute and use fossil fuel.  

We keep our extra stuff warm, dry and secure while allowing untold amount of humans are on the street.",Fossil fuel deception,Water pollution,42,"water, use, resource, ecosystem, corporate","plastic, plastic pollution, plastics, treaty, microplastics, straws, plasticpollution, plastic waste, bottles, recycling",21_plastic_plastic pollution_plastics_treaty
bafyreicn4xlkakxsi7psf7inm3kblrir25jpfyohzv72u7hexlkxq3fdue,"I also just love that yes we know joonie is a plant boy, yes I often think about his absolutely huge umbrella tree and how mine just keeps growing and growing too, but hobi is really showing the Plant Dad Energy. showers for the green children!!",Starry night preservation,Anti-Deforestation,40,"climate, yes, change, deforestation, nature",,-1_clean energy_social_green_bsky social
bafyreihoi7z23mnwlqcxf4pwtdm4g2scfofdftuj4expql7equo3putgqe,"My remarks reference our team's landmark 
@thebti.bsky.social report from earlier this year which presented an updated quantification of the mining footprint associated with different clean electricity generation sources (also comparing against coal for context).

thebreakthrough.org/issues/energ...",Water resilience,Clean energy,45,"could, cost, source, instead, would",,-1_clean energy_social_green_bsky social
bafyreihi4deedip255yokyube67ar5774jyjnpiufdekgcu7prdsl7dvd4,"Wildfires were a significant issue during #Trumpâs time in office, especially in 2018 and 2020. Rather  than addressing the broader issues of climate change, air quality, and fire prevention = SOLUTIONS. He criticize instead of uplifting. #califorinafires",Climate-fueled wildfires,Climate Wildfires,51,"climate, change, issue, crisis, article",,-1_clean energy_social_green_bsky social
bafyreihpwrrvxslb56mglcfgerchxbi6652dhxsx52estnpk4c4tr7bc5m,"Building Sustainable Sanitation Markets in Africa: Lessons from Uganda and Malawi

nextbillion.net/building-sus...

#sanitation #Africa #EmergingMarkets #WASH #Uganda #Malawi #sustainable #UrbanDevelopment",Water resilience,Water pollution,79,"ai, sustainable, sector, create, security",,-1_clean energy_social_green_bsky social
bafyreibbjjefxzmxn5ax4eqcwoveryfkns6l24kaz6jnvexj6dvhxnkbgi,"AI isn't the future, it's the detriment of said future. At least until it stops using so much power and killing the planet. If all AI used renewable energy, that's fine by me. As of now, I try not to use it for much at all.

It's not only a detriment to the future, it's a detriment to human [â¦]",EV transition barriers,Clean energy,99,"energy, clean, renewable, green, bill","ai, data centers, centers, data, ai data, data center, llm, chatbot, intelligence, robotics",3_ai_data centers_centers_data
bafyreihpe4zdt6qvlaqzh72f3hr7lfxcaffkd4k2gceu7moakl6diyslqq,"""The Norwegian parliament on Tuesday ordered the Labour minority government to launch a new frontier areas oil and gas exploration licensing round, setting the stage for increased oil drilling.""

(Reuters)

#collapse",Fossil fuel deception,Anti-Big Oil,36,"oil, drilling, gas, price, trump","drilling, oil drilling, drill, oil, drilling oil, drilling mining, baby drill, drill baby, gas drilling, alaska",6_drilling_oil drilling_drill_oil
bafyreicnidm3al4t6zid3uc472nh6pjxwpuwv3byea47n2z5gdgnp6jnqa,"ðâ¨ CA is showing how a big state can power itself w/o fossil fuels. âCA has the 5th largest economy in the worldâ¦ and in the course of a few months, the state has proved that itâs possible to run a thriving modern economy on clean energy.â tinyurl.com/bddaesfa #Renewable #RenewableRevolution",Renewable Energy Momentum,Clean energy,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social
bafyreihe4unymonyatttufc56mvkl7tzsqlpf2vk4x4vsonwvunv3vyxea,"@dlrcc.bsky.socialâ¬ 
first letting the big cruise ships polluting the Dublin Bay
then pretending to taking action on pollution

Thank to all the volunteers for cleaning our beach yesterday!
Dublin Summer 2025
#Dublin #Environment #Photography #Streetphotography #pollution #cruiseship #DunLaoghaire",Water pollution crisis,Water pollution,22,"climate, change, talk, denier, taking","plastic, plastic pollution, plastics, treaty, microplastics, straws, plasticpollution, plastic waste, bottles, recycling",21_plastic_plastic pollution_plastics_treaty
bafyreib4iedguez2qiuxmokvwgwanxcyuf72djkb7udmorqm6s54qtyyru,Iâm surprised he doesnât just start drilling for oil in the middle of the oval office.,Fossil fuel deception,Anti-Big Oil,36,"oil, drilling, gas, price, trump","drilling, oil drilling, drill, oil, drilling oil, drilling mining, baby drill, drill baby, gas drilling, alaska",6_drilling_oil drilling_drill_oil
bafyreibjzhjwxs5blrvukbqeinwwpnyd6k2glgzxyydvn6hcrqmsrijx3m,Or just walking in front of an am radio antenna will warp the signal in specific ways. The thing is the minutiae of the measurement. I remember when they could detect 1 ppm of pollution and then machines got better and could detect 1 ppb. Suddenly everything was way more polluted overnight.,Science under attack,Water pollution,45,"could, cost, source, instead, would","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure
bafyreifb5haslrydb3xxjgip5seh5gmyxmybdpaqgi7v6q6o5zvqwuwnhu,"So true. I just saw their 'side of the argument' last night while watching ""Landman"". Billy Bob Thornton plays an oil man and gives a long speech about oil v. climate change and alternative sources of energy. It got me thinking. Need more research. PS Worth watching to 'know your enemy'.",Oil's Deceptive Greed,Anti-Big Oil,41,"year, day, every, time, last",,-1_clean energy_social_green_bsky social
bafyreifgc5hral6tnxrt4ffd4vhwbdzcqi7cua2tywxdjfaz6e3pfmscwm,Everyone suffers from pollution due to ag nobody is saying otherwise. Iâm pro veganism but I recognize itâs not an option for me due to my health and ability and thatâs true for many for a myriad of reasons,Deforestation & Wildlife Crisis,Water pollution,17,"due, nation, true, climate, analysis","meat, beef, animal, cows, livestock, eat meat, animals, eat, protein, animal products",56_meat_beef_animal_cows
bafyreicquazhgabw2pjx6ynrhkfvmu73c4azlqqhs3euplsmk57jocmbmm,"Federal grants fuel innovation across America, empowering communities to drive economic growth and tackle pressing challenges. From healthcare to renewable energy, these resources enable groundbreaking solutions. ð¡ð... learn how i got $1256 grant for my business: tinyurl.com/financialhel...",Renewable Energy Momentum,Clean energy,11,"got, food, business, enough, sustainable",,-1_clean energy_social_green_bsky social
bafyreifiiirusxkffkhmfjfjnpdicvpsecpm6cxf75hz66cfypyzejscn4,Bepsi is drilling her way out,Sound's dual impact,Anti-Drilling,36,"oil, drilling, gas, price, trump","drilling, holes, drilling holes, drilling hole, hole, wall, dentist, drill, hammering, like drilling",9_drilling_holes_drilling holes_drilling hole
bafyreigbuondqvh2ecbyt6xlwdtw56hsxcyp3uebk5gb54vddluhalhyaq,"60%: Remaining global forest cover, well below the safe boundary of 75%.

15 million kmÂ²: Degraded land area, more than the size of Antarctica, expanding by 1 million kmÂ² annually.

20%: Earthâs land surface covered by savannas, now under threat from cropland expansion and afforestation.",Deforestation & Wildlife Crisis,Anti-Deforestation,97,"american, land, another, national, federal","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil
bafyreietcdrw3xuahzwbw5evasmquilqd3nmacngc5r3gpddewgzhle2iq,"did any one get compensated? for 
associated pollution for which 

""no safe threshold for *lead* exposure exists.""

en.wikipedia.org/wiki/Lead%E2...",Corporate Climate Accountability,Water pollution,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social
bafyreidbdv5dmkfdyks7jggee7hcopfukiycvqss2auywuosvnups6kepy,intense due to climate change.,Deadly Heat Crisis,Climate Wildfires,17,"due, nation, true, climate, analysis",,-1_clean energy_social_green_bsky social
bafyreibq7q2nllt2t3qrfmcdkecoxtiif6xjfbzzbwidvxzpqwt66gckme,"The behaviour of these Member States is irresponsible! 

""They are obstructing urgently needed changes to the #DeforestationLaw that could stop illegal global deforestation and protect European companies, foresters and farmers against unreasonable bureaucracy,"" says Christine Schneider MEP.",Science under attack,Anti-Deforestation,5,"fuel, fossil, industry, stop, company","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil
bafyreigsl4borufx6jqk6nrmwhts36xs6rvk2djnlnuajbo5iegeyqh5ju,Pollution knows no boundaries. All species are affected.,Fossil fuel deception,Water pollution,15,"climate, change, reality, yeah, oh","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure
bafyreihpgkwx327es3rscrpk7bi4fs5al4lyjy2xhvt6r62wfcdgx5a7hu,The Government of St. Kitts and #Nevis and the St. Kitts Electricity Company Ltd have terminated the Renegotiated Power Purchase Agreement with #SOLEC Power Ltd for the construction of a #Solar PV and #Battery Energy Storage Project. www.thestkittsnevisobserver.com/solec-power-...,Renewable energy surge,Clean energy,43,"solar, energy, wind, power, panel",,-1_clean energy_social_green_bsky social
bafyreifl743rgvvajdberkrryjni3urk7ut5vokue3yoctbe4civeenoqy,"20 GW open solar access can lower emissions in steel, cement, aluminium sectors: Report
->Carbon Copy | #Emission #ClimateChange | More info from EcoSearch",Water resilience,Clean energy,24,"climatechange, info, ecosearch, climate, change",,-1_clean energy_social_green_bsky social
bafyreih4ibd3oxgl6vsbftc66s7qjdsx4n4akchkhl2wtging2d2npwybq,#MountaireFarms #CheapChicken #HiddenCosts #AnimalCruelty #FactoryFarming #Environment #Pollution #WaterContamination #Politics #Lobbying #CampaignFinance #Deregulation #LaborRights #WorkersRights #BigAg #RonaldCameron,Greenwashing deception,Water pollution,81,"pollution, air, city, show, focus",,-1_clean energy_social_green_bsky social
bafyreidixvrla6zyatkdgt2tsp3paxipqv7l6pvohl2gsudf6ra4pgezfm,"Let's talk about the $760 Billion in subsidies, tax breaks, and incentives given to the fossil fuel industry, then...much of which benefits foreign interests, as well.

www.fractracker.org/2025/03/foss... 

www.whitehouse.gov/presidential...",Oil's Deceptive Greed,Anti-Big Oil,5,"fuel, fossil, industry, stop, company","subsidies, imf, subsidies fossil, trillion, fuel subsidies, fuel subsidy, subsidy, estimates, en topics, skeet",96_subsidies_imf_subsidies fossil_trillion
bafyreiewmq4owbyndqybx3kf5npcmnuqsar4goff2yfopoksy6ydohsav4,"This:
State of the Cryosphere Report 2024
Lost Ice, Global Damage
""50 leading cryosphere scientists warn of vastly higher impacts & costs...Current climate commitments, leading the world to well over 2Â°C of warming, would bring disastrous & irreversible consequences for billions""
#Cryosphere #COP29",Deadly Heat Crisis,Anti-Deforestation,88,"global, warming, course, ice, half","global warming, warming, global, heatwave, 24hr, heat, nuclear winter, 5c, warming global, temperatures",13_global warming_warming_global_heatwave
bafyreihpiyftd4i3texxb6pcsnz4rpzaomsa2xtzt5vbyfwtk7ppyp5s6q,"""The last two years â 2023 and 2024 â have been the years of the most extreme marine heat wavesâ
""Heatwaves in the seas and oceans are a natural phenomenon all over the world, but since 1980 they have gotten stronger, longer and more frequent, caused by climate change.""
via Kronika Upadku",Marine climate crisis,Ocean conservation,41,"year, day, every, time, last",,-1_clean energy_social_green_bsky social
bafyreifp5r7qmd3q3ilbvnq5v2is6nvqfx3hemaltu3fmjj3cgn5lrhinm,"We are excited to announce our endorsement of Rodney Nickens (HD 90) and his vision for Virginia's future: one that's powered by clean, affordable energy and a government that works for all of us. Please join us in supporting @rodney4virginia.bsky.social at the polls in November! #votevirginia",Climate action collaboration,Clean energy,61,"system, data, join, month, center",,-1_clean energy_social_green_bsky social
bafyreiel6lcdodgug5ymqpps45hnotcwjzfwkakyaeiqd3cqegkza63p64,In 1976 the Peter Loughheed government enacted a prohibition against coal mining on the Eastern slopes because of the fragility & range of the watershed. Every govt since then has honoured it until these cretinous horrors were handed power & they couldn't wait to plunder it.,End fossil fuels,Water pollution,71,"coal, mining, america, innovation, able","coal mining, coal, mining, miners, slopes, eastern slopes, mining coal, mines, eastern, alberta",12_coal mining_coal_mining_miners
bafyreig4nnfe4pztcwxlznsexbdgxbv7metx5tbhlkzmtgyhswd4nclwde,"In rural Alaska, a village turns to solar and biomass energies to cut diesel and save money The projects come at a precarious time for renewable energy transition in the United States.

Interest | Match | Feed",Water resilience,Clean energy,43,"solar, energy, wind, power, panel",,-1_clean energy_social_green_bsky social
bafyreibttci2w5m6ljlovtv3nd6a7ijcocf5zpvrnf3dkutm2qlnz52upq,"There have not been wildfires like this, with or without people there. These wildfires are supercharged by 50% more carbon in the atmosphere, causing global warming. That's the scientific fact whether you want to believe it or not.",Climate-fueled wildfires,Climate Wildfires,3,"climate, change, real, believe, feel","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire
bafyreia6g2upmxk66z4wyzs3gu43qph4pkurd7w4avhqfmqhmkceatg6je,"I get my power from a co-op that uses solar energy to distribute electricity to thousands along the GA coast. Our bills are 1/3 of those using companies like Dominion, just 20 miles north. He definitely doesn't speak for me. His lack of knowledge on the subject makes me want to puke.",Clean Energy Push,Clean energy,43,"solar, energy, wind, power, panel",,-1_clean energy_social_green_bsky social
bafyreigkk5oq6edrdzao4l3afqsszebmqrfxobpte3byfwb26skwf724vm,"Trees may be getting more flammable because of climate change

https://www.newsbeep.com/uk/62663/

A flammability test on a western juniper tree (Juniperus occidentalis) Rebecca Koll Tucked away in a laboratory atâ¦",Climate-fueled wildfires,Climate Wildfires,51,"climate, change, issue, crisis, article","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil
bafyreie5ctbvnog4m5pqf6g4blaaviwhifkjtse4vxxxviee4wbsjhhjli,"Truckers say the oil and gas industry is ignoring HAZMAT procedures, endangering them and the communities they drive through. 
inthesetimes.com/article/oil-...",Oil's Deceptive Greed,Water pollution,36,"oil, drilling, gas, price, trump",,-1_clean energy_social_green_bsky social
bafyreieki7vdlmhghcpkexcchv6a3xzxwtr6j7c76lpvcpkwmkono6pl44,"#FossilFuels 2023 - ""5% of the total forest in the country. The smoke plumes from the fires heavily impacted the U.S. Northeast and Midwest, and they even wafted across the Atlantic to Europe and northern Africa."" 5,400 of the deaths in Canada & US. And added to chronic pollution exposure.",Climate-fueled wildfires,Climate Wildfires,76,"climate, report, change, effect, canada",,-1_clean energy_social_green_bsky social
bafyreihgfdpw3xqyt3uxvpa2vgxiwt5zof7fojoy3mdodiqfjsvneb2ssm,"â³ Deadline: March 23, 2025
ð Location: Gothenburg University (June 26-29 or Aug 13-16)
ð¡ Early submissions are encouraged, especially for policy sessions/regional workshops.

ð§ Questions? Contact SETI@udec.cl

Join #SETI2025 to advance research & policy on sustainable energy!",Climate action collaboration,Clean energy,38,"climate, important, change, increasing, biggest",,-1_clean energy_social_green_bsky social
bafyreid32xgk4xbsy4x574wp3i2njvi7b77274u2mwjfkhhwfg6q2v3fda,"The story is fine and the prescriptions are worthwhile, but the buried lede here is that Washington and Oregon are at 3rd and 5th respectively in terms of the proportion of their grids running on renewable energy. 

Washington in particular ranks only behind Texas for *total* renewable production!",Renewable Energy Momentum,Clean energy,43,"solar, energy, wind, power, panel",,-1_clean energy_social_green_bsky social
bafyreihesusenc3as2emxtlm5f5k2ngg5gz74dyhr2ocxun3mk5ydceure,Good...let's build more infrastructure for clean energy then...you know subsidise it in the same way that fossil fuels get subsidised...,Climate injustice exposed,Clean energy,5,"fuel, fossil, industry, stop, company","enkiai, clean energy, cleanenergy, energy stocks, clean, renewableenergy info, enkiai com, contact enkiai, cleanenergy info, enkiai insights",25_enkiai_clean energy_cleanenergy_energy stocks
