Topic,Count,Name,Representation,Representative_Docs
68,44,68_scotland_england_produces_energy scotland,"['scotland', 'england', 'produces', 'energy scotland', 'uk energy', 'bills', 'cumbria', 'infrastructure renewable', 'scots', 'uk']","['Scotland, therefore pays the highest tariff in the world. Far higher than England & Wales, which is ludicrous as Scotland produces the bulk of clean energy. We send to England. They sell it back at an enormous price. Better together, my bahookie.', ""Electricity in the UK is a high margin product. It doesn't need to be. Scotland produces more renewable (cheap) electricity than it uses but the price to the user is artificially high to level the UK 'playing field'. Tesla sees a high profit margin opportunity. www.uktech.news/energy/elon-..."", 'Scotland is rich in energy resources - Scotland makes 16% of the UK’s electricity - double its population share. Scotland produces a lot of renewable energy - and it could make more from its powerful wind, hydro and tidal resources. Nationalise public utilities for the benefit of all. Not rich CEOs']"
69,42,69_tesla_teslas_buy_electric car,"['tesla', 'teslas', 'buy', 'electric car', 'money selling', 'buy tesla', 'electric', 'buy electric', 'starlink', 'vandalism']","[""Dems should do the funniest thing and start welcoming Trump to the EV car market and being part of The Green New Deal movement. Fill the airwaves with praise that he's buying an electric car. It'll piss off his base and he will have to slam tesla to walk it back 😭😭😭"", 'You can boycott Bud Light, but you can’t boycott Tesla. MAGA, the people that don’t believe in climate change are being asked to buy electric vehicles…well, they’re being asked to buy swasticars. Keep up the protests, America.', ""Breaking finance story: Tesla's second-quarter revenue rockets by 78%, as demand soars for sustainable vehicles. The electric car giant's profits hit $3.7 billion, surpassing analyst expectations. Trading at $800+ as investors bet on green tech's future.⬆️... Perfume for women: cutt.ly/mrRd3nMy""]"
70,42,70_greenland_arctic_ice melts_melts,"['greenland', 'arctic', 'ice melts', 'melts', 'melting', 'shipping', 'shipping lanes', 'greenland climate', 'ice', 'ice sheet']","['Why is the felon going on about annexing Canada and Greenland? The answer is in Project 2025. The arctic is mentioned 63 times - why? global warming is turning the arctic into a massive untapped source of rare Earth minerals - it is all about burning the planet for cash. (see page 189)', ""Greenland has minerals, but a Danish government official recently said the US is already able to mine in Greenland. I think it's more the Arctic Trump wants, like he wants Canada's Arctic, too. Climate change is melting Arctic ice, will open new shipping routes and enable more oil & LNG drilling."", 'Greenland is only strategically important if 1. climate change is real and a retreating polar ice sheet opens up new shipping lanes, and 2. climate change is real and the rare earth elements under the Greenland glaciers are exposed & exploitable. Soooo…']"
71,42,71_gender_women_sex_kink,"['gender', 'women', 'sex', 'kink', 'queer', 'trans', 'men', 'lgbtqia', 'binary', 'pregnant']","['The UN Human Rights Council’s report on sex-based violence against women and girls pushed pseudoscience-laden anti-trans junk science claims, www.lgbtqnation.com/2025/07/unit...', 'What I support : LGBTQIA+ 🏳️\u200d🌈 Scientists 👨\u200d🔬👩\u200d🔬 Gender equality ♀️ Trans rights 🏳️\u200d⚧️ Global warming awareness ☀️ BLM ☮️ Palestinians 🇵🇸 Gay communists 🔻 French people 🇫🇷 Viktor from the hit serie Arcane 🙆 Bottoms ⬇️ Feet kink 🦶 Piss kink 💦 Every kink 😜 Cancoillote 🍯', 'Things that are gay: Immigrant rights ✊🏼 LGBTQIA+ 🏳️\u200d🌈🏳️\u200d⚧️ BLM 🖤 Free Palestine 🇵🇸 Slava Ukraini 🇺🇦 Indigenous People 🫶 Women’s Rights 💖 Animal Rights 🐮 Human Rights 🫂 Pro-Choice ❤️\u200d🔥 Gender Identity 🤍 Mental Health Awareness 🎗 Disability Awareness 🏥 Climate Change Awareness 🍃 Love ❤️']"
72,40,72_god_act god_christian_end world,"['god', 'act god', 'christian', 'end world', 'religious', 'apocalypse', 'testament', 'change god', 'rapture', 'wrath']","['A lot of snow in the Gulf states. Could it be God showing his wrath to trump for trying to change the name to gulf of America and for getting out of the Paris climate accord? 🤔 just pondering that question and I’m not even very religious. Or maybe it’s because he altered the Holy Bible', 'First, using national survey data, we find that believing ""God would not allow humans to destroy the Earth"" is associated with lower concern about climate change, lower belief that climate change is human-caused, & lower support for climate mitigation policies (incl. controls).', ""They're trying really hard to make this someone else's fault. They literally just blamed the same entity they believe is going to save the entire world for killing children with a flood. Extreme weather is not an act of god. It's the result of climate change.""]"
73,39,73_indigenous_archaeological_cultural heritage_native,"['indigenous', 'archaeological', 'cultural heritage', 'native', 'heritage', 'alaskabeacon com', 'alaskabeacon', 'ceremonies', 'culture climate', 'indigenous peoples']","['Ahead of the UN Ocean Conference in Nice, this meeting contributed to strengthen collaboration between the Partnership and the IOC/UNESCO especially on the co-branding of the Partnership’s transnational joint calls by the UN Decade of Ocean Science for Sustainable Development', 'Indigenous Peoples 101: Culture, Climate Change, and Resilience https://tatanka.site/indigenous-peoples-101-culture-climate-change-and-resilience/ #Aboriginal #AncientWisdom #Ainu #Akisqnuk #Akwesasne #Algonquin #Apache #Blackfoot #Bobirwa #Chewa #Cheyenne #Choctaw #Chopi #ClimateChange #Cree', 'Hello, @bsky.app ! We’re ALIPH & here to talk about the power of cultural heritage and the importance of protecting it—especially in regions impacted by conflict, post-conflict & climate change. From ancient monuments to local traditions, cultural heritage tells the story of humanity.']"
74,37,74_gold_aest_asx_asx drilling,"['gold', 'aest', 'asx', 'asx drilling', 'metals', 'diamond', 'released', 'jul', 'minerals', 'mining']","['Torque Metals ( #TOR ) has released "" Diamond Drilling Commences at Paris Gold Project "" on Mon 28 Jul at 08:40 AEST #government #Mining #Gold #Australia #Strategy', 'Beacon Minerals ( #BCN ) has released "" Stage 2 Grade Control Program Commences at Iguana "" on Tue 22 Jul at 09:46 AEST #Mining #Gold #ltd #ASX #Drilling', 'Sipa Resources ( #SRI ) has released "" RC Gold Drilling Program Completed in South Australia "" on Mon 21 Jul at 08:24 AEST #Gold #Australia #media #ASX #Drilling']"
75,37,75_hydrogen_green hydrogen_hydrogen production_fuelcellsworks,"['hydrogen', 'green hydrogen', 'hydrogen production', 'fuelcellsworks', 'fuelcellsworks com', 'hydrogen clean', 'hydrogen technology', 'blue hydrogen', 'oman', 'electrolysis']","['My provocation is that green hydrogen production is going to play a major role in seasonal energy storage just because a use for all of the excess electricity generated during the summer months from PV will be something so many people will be interested in taking advantage of.', '🚨 Update from the Asia Pacific Green Hydrogen Alliance! 🌏 Join the hub for green hydrogen innovation. Connect with policymakers, leaders & experts driving clean energy. 🌱 🌟 Highlights: 🇦🇺 & 🇯🇵 progress 🇮🇳 & 🇰🇷 collaborations SE Asia potential Details 👉 gh2.org/apac-alliance ✨ Dec 16—big news coming!', ""HDF to Retrofit Indonesian Ferries with #FuelCells Powered by Local Green #Hydrogen. HDF Energy, Indonesia's Ministry of Transportation, PLN & ASDP join forces to decarbonize maritime sector with hydrogen solutions. #GreenEnergy #Hydrogen #Decarbonise fcw.sh/waD0fk""]"
76,37,76_coffee_chocolate_cocoa_expensive,"['coffee', 'chocolate', 'cocoa', 'expensive', 'beans', 'bean', 'plantations', 'fairtrade', 'coco', 'vietnam']","['""🚨 BRAND CONTROVERSY ALERT! 💥 Nestlé facing backlash over #Chocolate hypocrisy admit 25% Cocoa supply linked to deforestation. Consumers demanding ethical sourcing! #Sustainability #BrandReputation #Forbes"" Perfume for women: cutt.ly/mrRd3nMy', '""The cocoa bean is very susceptible to change in weather, and with climate change being what it is today, whether you believe it or not, it\'s certainly having an effect on what cocoa plantations are able to produce,"" Baker said. The price of cocoa has quadrupled... www.wgal.com/article/coco...', 'It is expensive & hard, w Climate Change being the largest threat to cultivars going extinct. From planting, growing, harvesting by hand, cleaning, fermenting, processing, drying, packing for export, roasting, & selling before it gets to your cup, all done ethically. Wtf does MAGA know abt coffee?']"
77,36,77_eu_energy wire_spain_europe,"['eu', 'energy wire', 'spain', 'europe', 'gen', 'load', 'renewable power', 'eurostat', 'energy action', 'wire']","['The EU can lead on geothermal energy, but it needs to define its plan – Clean Air Task Force https://www.europesays.com/1928327/ Jenna Hill Last month, the European Commission released its Affordable Energy Action Plan and its Clean Industrial Deal.…', 'Today @ec.europa.eu issued the Clean Industrial Deal and the Affordable Energy Action Plan, a significant effort to achieve decarbonisation and competitiveness. But the devil will be in the details. Find out why with CATF’s Alessia Virone: www.catf.us/2025/02/euro...', 'EU’s solar and wind growth pushes fossil-fuel power to lowest level in 40 years - Carbon Brief Over the past decade, coal power use in the European Union (EU) has fallen by 61%, according to Carbon Brief analysis of new figures from energy analysts Ember. www.carbonbrief.org/eus-solar-an...']"
78,36,78_esg_business tinyurl_1256 grant_com financialhel,"['esg', 'business tinyurl', '1256 grant', 'com financialhel', 'financialhel', 'got 1256', '1256', 'grant business', 'learn got', 'grant']","[""ESG investing combines environmental, social, & governance factors into portfolios for a more sustainable & responsible investment approach. It's not just about profit - it's about making a positive impact. 💚🌍 #ESG #... learn how i got $1256 grant for my business: tinyurl.com/financialhel..."", 'US ESG investments to reach $1T by 2025: A massive shift towards sustainable finance is reshaping the market! 💰✨ Investments in green tech, clean energy, and social impact are booming. #ESG #SustainableInvesting #Fut... learn how i got $1256 grant for my business: tinyurl.com/financialhel...', '💡 Wealth management in 2025: AI-driven portfolios & sustainable assets dominate as Millennials prioritize ESG investing. Forbes predicts a shift towards bundled finance services & global market expansion. Stay tuned!... learn how i got $1256 grant for my business: tinyurl.com/financialhel...']"
79,35,79_trillion_win win_change cost_disruptions,"['trillion', 'win win', 'change cost', 'disruptions', 'gdp', 'global economy', 'unchecked', 'profit', 'cost', 'win']","['Climate change is estimated to cost the global economy about $38 Trillion Per Year by 2049. People suffering from Climate Change are the ones paying the bills that come from escalating storms, sea rise, scorching heat. Why aren’t the fossil fuel companies paying even a small amount of this?', ""Companies are taking climate issues in the face. The responses suggest they don't have a *process* for understanding the rate of change of future costs (climate risk management) but are super worried about *present impacts* (Climate transition and physical risks | Employee health and safety)."", '""if left unchecked climate change could cost the global economy US$178 trillion over the next 50 years, or a 7.6% cut to global gross domestic product (GDP) in the year 2070 alone.""']"
80,35,80_carbon capture_capture_carbon_ccs,"['carbon capture', 'capture', 'carbon', 'ccs', 'sioldridge', 'sioldridge bsky', 'capture storage', 'removal', 'emission', 'pushed fossil']","[""Huge: Head of Climate Change Committee doesn't think carbon capture should be used in electricity generation (#NB Tony Blair) Will @thecccuk.bsky.social (1) tell the Government to drop gas-CCS (2) Support my legal case against gas-CCS being used for electricity 👉 bsky.app/profile/dran..."", 'For the last 20 years, Big Oil & Gas spent nearly $1 BILLION on lobbying FOR carbon capture. Their payoff is massive tax credits and subsidies. Carbon capture was never about saving the climate -- it was always about protecting fossil fuel profits. NEW REPORT: www.sciencedirect.com/science/arti...', 'The opportunity costs of carbon capture ""This holds true even if 0-emis energy powers the tech deployed to extract CO2. \'It’s always an opportunity cost to use clean, renewable energy for direct air capture instead of replacing a fossil-fuel CO2 source\'"" www.eurekalert.org/news-release...']"
81,34,81_housing_housing crisis_housing market_relocation,"['housing', 'housing crisis', 'housing market', 'relocation', 'affordable housing', 'sufficient', 'https archive', '10 29', 'housing shortage', 'housing act']","['This RPA ""Averting Crisis"" report uses NZA data to estimate build out scenarios for the NYC metro area to illuminate the devastating impacts of climate change on housing - & how VERY far zoning must go to fill a massive housing shortage. Happy to co-author, sad about the findings. #zoningreformnow', 'Newly passed CA housing reforms (streamline development & use wildfire-ravaged lots for low-income housing) are marketed as improving affordability. But they highlight deep systemic failure: climate change is impacting land, weather, & housing. @reuters.com bit.ly/4fwVHYq', 'This isn’t politics or ideology - it’s math. As we roll up our sleeves and get into the details, policymakers must aim for sustainable solutions that help low-income tenants pay a rent they can afford, and help landlords of all types maintain their buildings as sound, dignified places to live. /x']"
82,34,82_cop29_cop_cop30_baku,"['cop29', 'cop', 'cop30', 'baku', 'conference', 'brazil', 'genius', 'sb62', 'cop30 brazil', 'criticised']","['📍Live from Bonn, Germany! This is where the Brazilian Presidency of COP30 is taking part in the UN Climate Change Conference. 🌍 We’re at the 62nd session of the Subsidiary Bodies of the United Nations Framework Convention on Climate Change (SB62). 🏢', 'PR firm working for Shell wins COP30 media contract As calls grow to keep fossil fuel influence out of UN climate talks, campaigners say Edelman’s partnership with the oil and gas major raises an alarming conflict of interest. Jul 30, 2025 www.climatechangenews.com/2025/07/30/p...', 'Belarus public informed about COP29 https://www.byteseu.com/508190/ The Belarusian public has been informed about the 29th session of the UN Framework Convention on Climate Change Conference (COP29), which will be held in Azerbaijan on November 11-22, Report informs. The main topic of several …']"
83,34,83_movie_film_movies_chung,"['movie', 'film', 'movies', 'chung', 'movie climate', 'mentioning climate', 'felt', 'films', 'mentioning', 'presents']","['‘the movie goes out of its way to avoid mentioning climate change because its director didn’t want to make audiences uncomfortable.’ lol that’s total BS. I’d bet money it was the studio making that call and not Lee Isaac Chung', 'Much like the first film, the Twister sequel looks like it will be an easily forgettable piece of shit, but the fact that Director Lee Isaac Chung is such a bootlicking little coward that he deliberately avoided mentioning climate change in the film, saying...', ""In DC Comics, the main continuity and the older Batman movie continuities exist in differing universes. Therefore, via Barry Allen, who has visited many alternate universes, it's possible Poison Ivy learns of the 'movie' where she teamed with Mr. Freeze to stop global warming. And Bats stopped her.""]"
84,32,84_hours_anxious_sleep_bed,"['hours', 'anxious', 'sleep', 'bed', 'really sustainable', 'exhausted', 'guitar', 'weekends', 'dopamine', 'hours day']","[""i'm so very anxious about going to bed and/or sleeping. i haven't slept for more than 45 minutes at a time in a week or so, and i'm too anxious to sleep in my bed, so i spend the night on the sofa letting sitcoms play. this is not really sustainable, but nothing is really sustainable."", ""For the past 4 days I've been living at work, and if they had a bed available for staff members to use I would probably be sleeping there, too - I'm only going home for 6-8 hours to do that. This is not sustainable. Behavioral healthcare workers deserve better wages and better care!"", 'My work has had us working 60-90 minutes past “end of day” for at least 2 weeks. I don’t get home until 8pm (start work at 9). So I stopped showing up on time. Nobody has said a damn thing, and I still have 44 hours this week. 🤷🏻\u200d♀️ This isn’t sustainable.']"
85,32,85_noaa_nws noaa_project 2025_nws,"['noaa', 'nws noaa', 'project 2025', 'nws', 'hurricane', 'won notice', 'gutted', 'weather disasters', 'hurricane season', 'disasters']","['Again, for MAGA people, trump BLINDED NOAA to protect BIG OIL! THEY KNOW WHAT THEY’RE DOING! NOAA was showing everyone, everyday, CLIMATE CHANGE IS KILLING US, so they took NOAA’s eyes! They stopped letting them use the NAVY WEATHER SATELLITES! IT WAS A BIG PROJECT 2025 PLAN! HE ALSO GUTTED FEMA', ""NOAA Will Stop Tracking Weather Disasters Because Trump Doesn't Believe in Climate Change https:// futurism.com/noaa-stop-trackin g-weather-disasters?utm_source=flipboard&utm_medium=activitypub Posted into TRUMP PROPOSALS AND CHANGES @ trump-proposals-... | Details | Interest | Feed |"", 'Devastating TX has already blamed NWS & NOAA for not being able predict the storm intensity Climate change is a bitch Climate change is a natural phenomenon that has been exacerbated & accelerated by humanity Who cut the budgets of NWS & NOAA TX need to blame someone? Look in the mirror!']"
86,32,86_sustainable water_freshwater_water_wetlands,"['sustainable water', 'freshwater', 'water', 'wetlands', 'world water', 'freshwater ecosystems', 'water management', 'global water', 'water day', 'river']","['4️⃣ Ensure fair and equal access to clean water 5️⃣ Promote sustainable water use as part of climate adaptation 6️⃣ Clean-up water resources from toxic remnants of war 7️⃣ Strengthen cross-border cooperation on water management.', 'A new UN data platform is tracking the health of millions of lakes, rivers and wetlands on Earth, revealing pollution hotspots, drought impacts and signs of recovery. Check out the Freshwater Ecosystems Explorer – a bird’s eye view of our planet’s freshwater ecosystems: www.unep.org/news-and-sto...', 'unitedforclimate.blogspot.com/2025/05/klam... bsky.app/starter-pack... docs.google.com/document/d/e... www.perplexity.ai/search/summa... KLAMATH RIVER CONSERVATION Explore efforts to restore the Klamath River and promote sustainable water management. #DamRemovals #FreeRivers']"
87,31,87_glacier_glaciers_switzerland_melting,"['glacier', 'glaciers', 'switzerland', 'melting', 'melting glaciers', 'www france24', 'france24 com', 'france24', 'ice age', 'receding']","['Swiss glaciers, severely impacted by climate change, melted as much in 2022 and 2023 as between 1960 and 1990, losing in total about 10 percent of their volume. www.france24.com/en/europe/20...', ""Glaciers are nature’s water towers. They provide freshwater to ecosystems, feeding rivers, lakes, and groundwater supplies that sustain life. Melting glaciers disrupt weather patterns, making extreme weather events more severe. They also cause sea levels to rise. That's why glaciers matter."", ""“Swiss glacier collapse: 'You can't engineer yourself out of something of this magnitude' EUROPE Modified: 30/05/2025 - 12:05 .. burying nearly all of Blatten, an Alpine village ..evacuated earlier this month .. #globalWarming in glacier collapses around the world..” www.france24.com/en/video/202...""]"
88,30,88_pope_francis_pope francis_leo,"['pope', 'francis', 'pope francis', 'leo', 'cardinal', 'vatican', 'church', 'advocated', 'catholic', 'immigration climate']","['“…Pope Francis, the first Jesuit and Latin American pope, leaves behind a profound historical legacy. His efforts to address climate change and advocate for the marginalized and bridge the gap between the rich and poor reshaped the role of the papacy in the modern world. …” – Occupy Democrats', 'A timeline of the life of Pope Francis: From Buenos Aires to Rome https://www.europesays.com/2014523/ Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…', 'Pope Francis left unfinished business after a 12-year papacy. What challenges await the next pope? https://www.europesays.com/2049159/ Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…']"
89,30,89_alt_alt text_note_text,"['alt', 'alt text', 'note', 'text', 'spicy', 'plan fix', 'ouch', 'aim make', 'salty', 'thank doing']","['Alt text added to graphic.', 'As promised, the ALT text is continued here from the opening post. (This is my first day with a replacement charging cord for my laptop, so I created 2 memes.)', 'I aim to make my alt text sassy, spicy or salty. ✏️ 💅🏻']"
90,28,90_flood_flooding_floods_river,"['flood', 'flooding', 'floods', 'river', 'colorado river', 'flooding climate', 'flood risk', 'floods climate', 'weat', 'dam']","['Cars submerged at automotive company in severe Welsh floods And yet the people spending years in prison are climate activists trying to warn people of the devastating climate change coming our way Whilst fossil fuel billionaires wallow in luxury news.sky.com/video/cars-s...', 'Torrential rains trigger flash floods in Kashmir, killing at least 56 and leaving scores missing. Cloudbursts have increased because of climate change, & damage from the storms also has increased because of unplanned development in mountain regions. pdpwbj.clicks.mlsend.com/tl/c/eyJ2Ijo...', 'The Colorado River is making a remarkable comeback. As climate change impacts the area, the river is undergoing a restoration of its own making, taking back terrain, turning a once placid, wide body of water back into a coursing river. Order your copy of our latest issue today: shop.atmos.earth']"
91,28,91_comics_assistant_cw_assistant professor,"['comics', 'assistant', 'cw', 'assistant professor', 'passionate climate', 'genomics', 'edu au', 'passionate', 'edu', 'join team']","['6) Open-rank faculty position in Ocean and Climate Sciences at Georgia Tech. Areas of particular interest include physical oceanography & its role in climate dynamics, the cryosphere and sea level change, earth system modeling, and ML. 🧵⬇️ hr.gatech.edu/careers Job ID 278273', 'New opportunity | Postgraduate Researcher Representative 📆Deadline: 31 July Are you passionate about climate change and ecology? We are looking for two PGR/PhD student reps to join our committee. It’s a chance to shape events, support early career researchers, and contribute to the community!', ""Hey BlueSky!🔆Since I've been getting so many new follows lately, I'll reintroduce myself: I'm a coastal marine scientist working at the nexus of ocean climate change & nature-based climate solutions. Excited to connect and share about ocean science, conservation, equity, sci-com, & climate action!🌎💙""]"
92,27,92_hurricane_helene_hurricanes_cyclones,"['hurricane', 'helene', 'hurricanes', 'cyclones', 'milton', 'storm', 'cyclone', 'storms', 'wind speeds', 'warming causes']","['""Scientists have linked rapid intensification of hurricanes in the Atlantic Ocean to climate change. Global warming is causing the atmosphere to hold more water vapor and is spiking ocean temperatures. The warmer waters give hurricanes fuel to unleash more rain and strengthen more quickly.""', 'Climate change strengthened the maximum wind speeds of Atlantic hurricanes by an average of 18 mph during the past five years, a new study published today shows. www.axios.com/2024/11/20/h...', 'Climate change for dummies Stuff gets hot=heat waves Hot air holds more water vapor=heavier rain Hot air is thirstier air=cause droughts. Warm water is hurricane food=strong storms Hot water expands,hot ice melts=sea rises Warm air, polar jet stream disruption=polar vortex,extremely cold weather']"
93,27,93_september 21_celebrate_holidays_earthday,"['september 21', 'celebrate', 'holidays', 'earthday', 'day', 'sun', 'day solar', 'sunday', 'power planet', 'omnibus']","[""🌞Happy Sun Day, everyone! 🌡️Today, August 11th, in beautiful Georgia, we celebrate and cherish one of our beloved holidays - the National Sun Day! It's a time to appreciate and honor the life-giving force that is the sun. ☀️ Our amazing planet relies heavily […] [Original post on mstdn.forfun.su]"", 'Join us at the Sun Day Solar Fest on 9/21 to celebrate solar energy with our 24 partner organizations including solar installers, community solar, faith, climate, environmental & social justice orgs at the event. Join us & learn all about clean energy. RSVP: bit.ly/SunDaySolarF... #SunDay', 'Today — on Earth Day 2025 — we want to say it out loud: Clean energy pioneers, climate tech founders, circular economy changemakers: your work matters! Building a better future isn’t easy. It takes courage, creativity, and a stubborn kind of optimism. Thank you! 🧡 Artwork: Tasha Arlova']"
94,27,94_medicaid_cuts medicaid_snap_000 people,"['medicaid', 'cuts medicaid', 'snap', '000 people', 'tax cuts', 'cuts', 'food assistance', 'insulin payouts', 'medicaid food', '5t']","['Debt up by $3T, 17M to lose health insurance in 10 years, Min 300 hospitals will close, Min 3M will lose food assistance due to cumbersome paperwork for SNAP benefits, Household energy bills up by $170 in 10 years, 800K clean energy jobs lost by 2030, Creation of secret police generalstrikeus.com', 'The Affordable Care Act has provided healthcare to more than 20 million uninsured Americans since 2009, the Inflation Reduction Act included the largest renewable energy investments in American history and capped insulin payouts. Maybe we have different ideas of good.', ""The mega-bill—involving 11 separate committees—would provide an estimated $5T in tax cuts while targeting around $1.5T in savings. Think we can see where this just ain't gonna work. partly paid for with cuts to Medicaid, food stamps and green energy programs used by millions of Americans.""]"
95,27,95_migration_uninhabitable_instability_increasing climate,"['migration', 'uninhabitable', 'instability', 'increasing climate', 'inexorably', 'deeply concerned', 'donold', 'mass migration', 'refugees', 'displacement']","['Double whammy: As the population of the world increases, requiring more space, and global warming makes more land uninhabitable, there will be more mass migration and more wars. We have already seen an increase in migration and state-against-state wars in the past couple of decades.', 'Cross-border migration has become more complex in recent years, with factors like climate change, economic opportunities, and political instability driving movement. While some nations embr... got something in your amazon cart? before you check out, click this link: tinyurl.com/amazondiscou...', 'Climate change knows no borders The increased droughts, floods, heatwaves, and other extreme weather conditions increase #migration. People worldwide are experiencing the devastating impacts of the #ClimateCrisis, which is making corners of the globe increasingly uninhabitable.']"
96,27,96_subsidies_imf_subsidies fossil_trillion,"['subsidies', 'imf', 'subsidies fossil', 'trillion', 'fuel subsidies', 'fuel subsidy', 'subsidy', 'estimates', 'en topics', 'skeet']","['""Conservative estimates put U.S. direct subsidies to the fossil fuel industry at roughly $20 billion per year; with 20 percent currently allocated to coal and 80 percent to natural gas and crude oil. European Union subsidies are estimated to total 55 billion euros annually.""', '“Globally, fossil fuel subsidies were $7 trillion or 7.1 percent of GDP in 2022, reflecting a $2 trillion increase since 2020”: www.imf.org/en/Topics/cl... #FossilFuels #Renewables #GreenEnergy', 'AI Overview ""In the United States, fossil fuel subsidies, including direct and indirect forms, are estimated to be in the billions of dollars annually..."" www.imf.org/en/Topics/cl...']"
97,27,97_mosquitoes_mosquito_virus_infectious,"['mosquitoes', 'mosquito', 'virus', 'infectious', 'vectors', 'infectious disease', 'diseases', 'disease', 'countries facing', 'list european']","['Dal delivered a deep dive into vectors – mosquitoes, ticks, flies, and the diseases they spread. Her key message was the global issue of climate change, which is particularly affecting the Mediterranean region. #ClimateChange #GlobalHealth', 'France, Cyprus, Spain, and Italy Join List of European Countries Facing More Intense Mosquito Seasons Due to Climate Change: What You Need To Know https://www.europesays.com/2211437/ Home » TRAVEL ALERT » France, Cyprus, Spain, and Italy Join List of European Countries Facing More Intense…', 'China reopens Covid toolbox in battle against Chikungunya virus. “China’s diligence comes as climate change has heightened the risks of mosquito-born diseases, such as Chikungunya and dengue, by increasing the incidence of heavy rainfall and typhoons.” pdpwbj.clicks.mlsend.com/tf/c/eyJ2Ijo...']"
98,26,98_banks_financing_lending_banking,"['banks', 'financing', 'lending', 'banking', 'wall street', 'financing fossil', 'bank', 'newslet', 'rba', 'news newslet']","['📢 Activists keep pressure on big banks despite $10b cut in fossil fuel l... 🔗 https://www.theage.com.au/business/banking-and-finance/activists-keep-pressure-on-big-banks-despite-10b-cut-in-fossil-fuel-lending-20241215-p5kygp.html?ref=rss&utm_medium=rss&utm_source=rss_feed 👉 18+ news & weather bots', 'US banks are reducing emissions in response to the forces of capitalism! Wall Street is making a significant reduction in its financing of fossil fuel projects. #EnergySky www.bloomberg.com/news/newslet...', 'Fossil lending from major US banks down 25%! ""Trump’s anti-climate, pro-fossil fuel policies piled pressure on US banks and asset managers to publicly toe the line of the White House’s energy agenda. Yet behind the scenes, the data paint a more nuanced picture."" www.bloomberg.com/news/newslet...']"
99,26,99_zeldin_lee zeldin_lee_administrator,"['zeldin', 'lee zeldin', 'lee', 'administrator', 'administrator lee', 'epa', 'epa administrator', 'heart climate', 'change religion', 'dagger']","['Administrator Lee Zeldin said the EPA would scrap what is known as its endangerment finding, established under President Barack Obama. The determination called climate change a danger to human health and therefore gave the EPA power to regulate the greenhouse gases. From @statesnewsroom.com', 'EPA Administrator Lee Zeldin characterized the move as “driving a dagger into the heart of the climate change religion.” @kelseyreichmann.bsky.social www.courthousenews.com/epa-seeks-to...', 'Promising to drive “a dagger through the heart of climate-change religion,” Environmental Protection Agency Administrator Lee Zeldin on Wednesday outlined plans for an aggressive rollback of environmental regulations. www.nbcnews.com/science/envi...']"
100,25,100_air conditioning_conditioning_ac_atlanta,"['air conditioning', 'conditioning', 'ac', 'atlanta', 'air conditioner', 'conditioner', 'maybe people', 'worsen climate', 'acs', 'neighbors']","['They want you to blame your air conditioner for climate change today too, instead of the electric power companies who refuse to generate the power to run those air conditioners in way that don’t worsen climate change. At every step they’re blaming individual users instead of big companies. Stop.', ""this is a bad take yes climate change is an urgent, existential threat and needs to be taken very seriously but we also need to stay cool so support renewable and low-carbon energy however you can, but don't feel guilty about cranking up the AC when it's hot"", ""So more people turn to air conditioning, which almost always contributes to the acceleration of climate change. As an ex-Alaskan I would be miserable without AC, but I wish it didn't exist. Humans should suffer as much as nature & wildlife, is my opinion. Maybe then more people would try to stop it.""]"
101,25,101_bluesky_social spoke_new bluesky_social like,"['bluesky', 'social spoke', 'new bluesky', 'social like', 'bsky', 'sheffield', 'bsky social', 'nj', 'alex', 'social']","['Hi Harry, switched to BSky this week after losing the will to trawl through comments by Russian bots, angry climate-change deniers and far-right loons to find actual news, info and informed debate. This place is more sedate and respectful. Looking forward to more news outlets becoming active here.', 'Like @claudiarowe.bsky.social appearance @johnfugelsang.bsky.social @siriusxmprog.bsky.social discussing important consequences occurring foster care system My Substack focus long term #sustainable prosperity addressing persistent #poverty identifying #economic drivers reducing #crime #econsky', '🚨 Breaking News 🚨 Global warming just hit a new high — I’ve officially landed on Bluesky. 🔥 Fleeing the Twitter age check circus 🎪 and bringing the real heat right here. Feeling the temperature rise? Hit that like and repost to help spread the blaze. ☀️🧯']"
102,24,102_net zero_zero_net_sceptic,"['net zero', 'zero', 'net', 'sceptic', 'emissions 2050', 'uk net', 'credible', 'badenoch', 'zero emissions', 'britain']","[""To stop actions that lead to illegal deforestation by 2025 was part of JBS's net zero pledge in 2021. At the time, @iatp.bsky.social said the company had no real plan to achieve net zero. We successfully challenged JBS at the National Adv Board, finding the net zero claim was misleading consumers"", '-> Miliband thinks talk of a new data centre will scupper his net zero ambitions, after he vowed to deliver a clean power system by 2030! -> PROBLEM is the HUGE amounts of energy and water consumption such sites require, which would cause implications for Britain’s climate and sustainability goals!?', '“Achieving ‘net zero’ no longer means what we meant by it."" Prof Myles Allen recently spoke to @eroston.bsky.social at @bloomberg.com about the study he led which shows that using natural carbon sinks to offset emissions will not stop global warming. www.bloomberg.com/news/article...']"
